SOX11_HUMAN	SOX11
IFRD1_HUMAN	IFRD1
CLK4_HUMAN	CLK4
TICN3_HUMAN	SPOCK3
ARNT_HUMAN	ARNT
ACPM_HUMAN	NDUFAB1
NDEL1_HUMAN	NDEL1
LMBL2_HUMAN	L3MBTL2
RT29_HUMAN	DAP3
SGK1_HUMAN	SGK1
ANO8_HUMAN	ANO8
AMPO_HUMAN	AOPEP
TMM70_HUMAN	TMEM70
PRP19_HUMAN	PRPF19
KCNQ5_HUMAN	KCNQ5
TR10A_HUMAN	TNFRSF10A
CPSF1_HUMAN	CPSF1
OPSD_HUMAN	RHO
SC22B_HUMAN	SEC22B
JUN_HUMAN	JUN
UBP4_HUMAN	USP4
ZN318_HUMAN	ZNF318
NPB_HUMAN	NPB
EOMES_HUMAN	EOMES
MITD1_HUMAN	MITD1
MGRN1_HUMAN	MGRN1
TPRKB_HUMAN	TPRKB
CS044_HUMAN	C19orf44
CNIH2_HUMAN	CNIH2
IF5_HUMAN	EIF5
EPN2_HUMAN	EPN2
MAGC2_HUMAN	MAGEC2
ARHG4_HUMAN	ARHGEF4
MTUS2_HUMAN	MTUS2
TRAM1_HUMAN	TRAM1
KATL1_HUMAN	KATNAL1
KLH24_HUMAN	KLHL24
HARB1_HUMAN	HARBI1
S12A2_HUMAN	SLC12A2
PLIN2_HUMAN	PLIN2
ARP6_HUMAN	ACTR6
CCR6_HUMAN	CCR6
HERC5_HUMAN	HERC5
F219A_HUMAN	FAM219A
MFAP4_HUMAN	MFAP4
CIP1_HUMAN	CCNB1IP1
RPB3_HUMAN	POLR2C
TPPC5_HUMAN	TRAPPC5
MARE2_HUMAN	MAPRE2
CAC1D_HUMAN	CACNA1D
GTDC1_HUMAN	GTDC1
SAFB2_HUMAN	SAFB2
RL22L_HUMAN	RPL22L1
PACRG_HUMAN	PACRG
WBP4_HUMAN	WBP4
PSF1_HUMAN	GINS1
KCMB4_HUMAN	KCNMB4
S35F6_HUMAN	SLC35F6
KDIS_HUMAN	KIDINS220
TSR2_HUMAN	TSR2
NC2A_HUMAN	DRAP1
MAP7_HUMAN	MAP7
NDUF3_HUMAN	NDUFAF3
MAGD2_HUMAN	MAGED2
ERR2_HUMAN	ESRRB
PAPD5_HUMAN	TENT4B
RORG_HUMAN	RORC
CLNK_HUMAN	CLNK
GPX8_HUMAN	GPX8
HNRPL_HUMAN	HNRNPL
GUC2A_HUMAN	GUCA2A
NMT2_HUMAN	NMT2
SYUB_HUMAN	SNCB
PSA5_HUMAN	PSMA5
ERR1_HUMAN	ESRRA
TOM34_HUMAN	TOMM34
DJB11_HUMAN	DNAJB11
COAA1_HUMAN	COL10A1
CA2D4_HUMAN	CACNA2D4
ZBT12_HUMAN	ZBTB12
UB2L6_HUMAN	UBE2L6
MN1_HUMAN	MN1
ZMYM4_HUMAN	ZMYM4
TXK_HUMAN	TXK
NUD14_HUMAN	NUDT14
AEDO_HUMAN	ADO
RHG33_HUMAN	ARHGAP33
HMGN2_HUMAN	HMGN2
REPI1_HUMAN	REPIN1
NET3_HUMAN	NTN3
ZN559_HUMAN	ZNF559
SOX3_HUMAN	SOX3
PTSS2_HUMAN	PTDSS2
ITA2B_HUMAN	ITGA2B
GPSM1_HUMAN	GPSM1
HGS_HUMAN	HGS
O10W1_HUMAN	OR10W1
MO4L2_HUMAN	MORF4L2
CRLS1_HUMAN	CRLS1
RHBL2_HUMAN	RHBDL2
FSD1_HUMAN	FSD1
PTN22_HUMAN	PTPN22
DEK_HUMAN	DEK
CUL5_HUMAN	CUL5
ACTL8_HUMAN	ACTL8
SNX27_HUMAN	SNX27
CO4A1_HUMAN	COL4A1
TBA1B_HUMAN	TUBA1B
PAX7_HUMAN	PAX7
PPCEL_HUMAN	PREPL
ITA8_HUMAN	ITGA8
MKRN3_HUMAN	MKRN3
ABCG4_HUMAN	ABCG4
MRCKA_HUMAN	CDC42BPA
CATIP_HUMAN	CATIP
F111B_HUMAN	FAM111B
ARHGB_HUMAN	ARHGEF11
TYB4Y_HUMAN	TMSB4Y
HOME3_HUMAN	HOMER3
ZA2G_HUMAN	AZGP1
PDZD9_HUMAN	PDZD9
RBP2_HUMAN	RANBP2
MK10_HUMAN	MAPK10
ATX3_HUMAN	ATXN3
UBE2W_HUMAN	UBE2W
LOXL4_HUMAN	LOXL4
GPC2_HUMAN	GPC2
PE2R3_HUMAN	PTGER3
WDR46_HUMAN	WDR46
MOG1_HUMAN	RANGRF
ANM6_HUMAN	PRMT6
UBB_HUMAN	UBB
PSA6_HUMAN	PSMA6
KIF2A_HUMAN	KIF2A
IKZF1_HUMAN	IKZF1
RM48_HUMAN	MRPL48
OFUT1_HUMAN	POFUT1
KIF6_HUMAN	KIF6
EIF3H_HUMAN	EIF3H
TYB4_HUMAN	TMSB4X
ASB6_HUMAN	ASB6
PGK1_HUMAN	PGK1
LYPD3_HUMAN	LYPD3
LY66F_HUMAN	LY6G6F
NOA1_HUMAN	NOA1
NECA2_HUMAN	NECAB2
BRE1B_HUMAN	RNF40
BBS5_HUMAN	BBS5
RHBT2_HUMAN	RHOBTB2
PICAL_HUMAN	PICALM
GT251_HUMAN	COLGALT1
C1QA_HUMAN	C1QA
PK3CD_HUMAN	PIK3CD
ABCA2_HUMAN	ABCA2
MCF2_HUMAN	MCF2
PAOX_HUMAN	PAOX
MBD6_HUMAN	MBD6
PCDA5_HUMAN	PCDHA5
ZNHI1_HUMAN	ZNHIT1
